Question,Answer
How much did product revenue grow in Q1 Fiscal 2023?,"Product revenue grew 84% year-on-year to $394 million.

Source: Q1 2023 Earning Call, pg 2"
For Snowflake what was the new expiration date of the modified lease in May 2022?,"There doesn't seem to be information on a lease in the earnings call documents. 

Source: N/A"
What is the implied gross margin for the full year that was disclosed on the Q3 2021 Snowflake Earnings call?,"We expect on a non-GAAP basis 68% product gross margin

Source:Q3 2021 Earnings Call, pg 5"
Please list all of the conclusions from the times Snowflake has discussed Snowpark.,"From the Q2 2022 Earnings Call: 

""The following milestones, we think, are worthy of note. In Q2, we announced public preview availability in all AWS regions of Snowpark, our new developer experience. Snowpark enables developers to work in their preferred programming language and formats, including Java and Scala. Snowpark is designed to make building complex data pipelines and applications easy and allow developers to interact with Snowflake directly without having to extract data, maximizing governance. The Snowpark Accelerated program has over 50 partners enrolled to bring their capabilities and innovations across data science, data engineering and security to Snowpark. In the future, Snowpark will add support for Python and expand to Azure and Google Cloud regions. Python is the most widely used programming language for machine learning and data science generally. ""

Source: Q2 2022 Earnings Call"
Summarize all the conclusions from Snowflake on Snowpark.,"From the Q3 2022 Earnings Call:

1. ""Snowpark Accelerated provides partners
with access to technical experts and market exposure to Snowflake customers. Snowpark provides programming
language choice to Snowflake's data cloud. Customers can access prebuilt partner capabilities and integrations. It is
leveraged by companies such as DataIQ, DataRobot and H2O.ai.""

2. ""With Snowpark for Python, developers will be able to easily program with a lightly
popular language. They can also leverage the security governance and performance of Snowflake. Snowpark for Python
is currently in private preview. During the quarter, Snowflake invested in Anaconda to bring enterprise-grade Python
capabilities to the data cloud. Together, we enabled the Python community to build secure data pipelines and machine
learning capabilities. The Anaconda partnership will enhance the Snowpark experience to extend programmability with
Snowflake.""

Source: Q3 2022 Earnings Call"
How fast is Snowflake Product Revenue growing? Please prioritize the most recent document,"The company is reporting $523 million in product revenue, growing 67% year-on-year - Q3 2023

Source: Q3 2023 Earnings Call, pg 2"
What were product revenues in Q2 2022?,"We saw a continued momentum in Q2 with 103% year-on-year growth to $255 million in product revenues

Source: Q2 2022 Earnings Call, pg 2"
What verticals were discussed in the Q2 2023 earnings call?,"Core verticals are financial services, advertising, media and entertainment, retail and CPG, technology and healthcare and life sciences. 

Source: Q2 2023 Earnings Call, pg 4"
What is the expected product gross margin for the full year 2023?,"74.5% on a non-GAAP basis

Source: Q4 2022 Earnings Call"
How much were product revenues and what was the year over year growth in Q4  2022?,"Q4 product revenues were $360 millions, representing 102% year-over-year growth.

Source: Q4 2022 Earnings Call, pg 3"
"By what percentage did product revenue grow, quarter over quarter, in fiscal year 2023?","
Q1 2023 product revenues: $394,000,000
Q2 2023 product revenues: $466,000,000
Q3 2023 product revenues: $523,000,000

The calcuated % of product revenue growth quarter-over-quarter is then: 

18.3% and 12.2%, respectively. 

Sources:
Q1 2023 Earnings Call, pg 2
Q2 2023 Earnings Call, pg 2
Q3 2023 Earnings Call, pg 2"
What were product revenues in Q3 2023?,"$523 million in product revenue

Source: Q3 2023 Earnings Call, pg 2"
What is Snowflake's cash position as of the Q3 2023 earnings call? ,"$4.9 billion in cash

Source: Q3 2023 Earnings Call, pg 4"
What is the status of Snowflake's acquisition of Streamlit?,"Acquisition completed. From the Q1 2023 Earnings Call: ""With Streamlit, we are enabling develops to build apps using their favorite toll and with simplified data access and governance."".

Source: Q1 2023 Earnings Call, pg 3"
Summarize acquisitions described in the Q2 2023 earnings call,"Two acquisitions are described:

1. Streamlit, which enables developers to build applications using their favorite tools. 

2. Applica, which mobilizes unstructured data for advanced analytics and machine learning. 

Source: Q2 2023 Earnings Call, pg 3"
How many Global 2000 customers were added each quarter in 2023?,"Q1 2023: 16
Q2 2023: 12
Q3 2023: 28


Sources:

Q1 2023 Earnings Call, pg 2
Q2 2023 Earnings Call, pg 2
Q3 2023 Earnings Call, pg 3"
